Country Code,Country Name,Income Group,Indicator Code,Indicator Name,Region,Year,Energy Consump.
CMR,Cameroon,Lower middle income,EG.FEC.RNEW.ZS,Renewable energy consumption (% of total final energy consumption),Sub-Saharan Africa,1/1/1990,81.593135075
COD,Congo Dem. Rep.,Low income,EG.FEC.RNEW.ZS,Renewable energy consumption (% of total final energy consumption),Sub-Saharan Africa,1/1/1990,92.047731644
COG,Congo Rep.,Lower middle income,EG.FEC.RNEW.ZS,Renewable energy consumption (% of total final energy consumption),Sub-Saharan Africa,1/1/1990,65.413786813
COL,Colombia,Upper middle income,EG.FEC.RNEW.ZS,Renewable energy consumption (% of total final energy consumption),Latin America & Caribbean,1/1/1990,38.251196691
COM,Comoros,Lower middle income,EG.FEC.RNEW.ZS,Renewable energy consumption (% of total final energy consumption),Sub-Saharan Africa,1/1/1990,49.838573521
CPV,Cabo Verde,Lower middle income,EG.FEC.RNEW.ZS,Renewable energy consumption (% of total final energy consumption),Sub-Saharan Africa,1/1/1990,36.634041520
CRI,Costa Rica,Upper middle income,EG.FEC.RNEW.ZS,Renewable energy consumption (% of total final energy consumption),Latin America & Caribbean,1/1/1990,45.380780900
CUB,Cuba,Upper middle income,EG.FEC.RNEW.ZS,Renewable energy consumption (% of total final energy consumption),Latin America & Caribbean,1/1/1990,42.890201096
CUW,Curacao,High income,EG.FEC.RNEW.ZS,Renewable energy consumption (% of total final energy consumption),Latin America & Caribbean,1/1/1990,0
CYM,Cayman Islands,High income,EG.FEC.RNEW.ZS,Renewable energy consumption (% of total final energy consumption),Latin America & Caribbean,1/1/1990,0
CYP,Cyprus,High income,EG.FEC.RNEW.ZS,Renewable energy consumption (% of total final energy consumption),Europe & Central Asia,1/1/1990,0.495929367
CZE,Czech Republic,High income,EG.FEC.RNEW.ZS,Renewable energy consumption (% of total final energy consumption),Europe & Central Asia,1/1/1990,3.571507027
DEU,Germany,High income,EG.FEC.RNEW.ZS,Renewable energy consumption (% of total final energy consumption),Europe & Central Asia,1/1/1990,2.098033775
DJI,Djibouti,Lower middle income,EG.FEC.RNEW.ZS,Renewable energy consumption (% of total final energy consumption),Middle East & North Africa,1/1/1990,26.592829844
DMA,Dominica,Upper middle income,EG.FEC.RNEW.ZS,Renewable energy consumption (% of total final energy consumption),Latin America & Caribbean,1/1/1990,14.603100563
DNK,Denmark,High income,EG.FEC.RNEW.ZS,Renewable energy consumption (% of total final energy consumption),Europe & Central Asia,1/1/1990,7.041559801
DOM,Dominican Republic,Upper middle income,EG.FEC.RNEW.ZS,Renewable energy consumption (% of total final energy consumption),Latin America & Caribbean,1/1/1990,28.011579411
DZA,Algeria,Lower middle income,EG.FEC.RNEW.ZS,Renewable energy consumption (% of total final energy consumption),Middle East & North Africa,1/1/1990,0.177228303
ECU,Ecuador,Upper middle income,EG.FEC.RNEW.ZS,Renewable energy consumption (% of total final energy consumption),Latin America & Caribbean,1/1/1990,24.198549133
EGY,Egypt Arab Rep.,Lower middle income,EG.FEC.RNEW.ZS,Renewable energy consumption (% of total final energy consumption),Middle East & North Africa,1/1/1990,8.502466180
ESP,Spain,High income,EG.FEC.RNEW.ZS,Renewable energy consumption (% of total final energy consumption),Europe & Central Asia,1/1/1990,10.544431183
EST,Estonia,High income,EG.FEC.RNEW.ZS,Renewable energy consumption (% of total final energy consumption),Europe & Central Asia,1/1/1990,3.356078624
ETH,Ethiopia,Low income,EG.FEC.RNEW.ZS,Renewable energy consumption (% of total final energy consumption),Sub-Saharan Africa,1/1/1990,96.635386775
FIN,Finland,High income,EG.FEC.RNEW.ZS,Renewable energy consumption (% of total final energy consumption),Europe & Central Asia,1/1/1990,24.508431476
FJI,Fiji,Upper middle income,EG.FEC.RNEW.ZS,Renewable energy consumption (% of total final energy consumption),East Asia & Pacific,1/1/1990,53.094005781
FRA,France,High income,EG.FEC.RNEW.ZS,Renewable energy consumption (% of total final energy consumption),Europe & Central Asia,1/1/1990,10.408019132
FRO,Faroe Islands,High income,EG.FEC.RNEW.ZS,Renewable energy consumption (% of total final energy consumption),Europe & Central Asia,1/1/1990,2.544771435
GAB,Gabon,Upper middle income,EG.FEC.RNEW.ZS,Renewable energy consumption (% of total final energy consumption),Sub-Saharan Africa,1/1/1990,78.280665369
GBR,United Kingdom,High income,EG.FEC.RNEW.ZS,Renewable energy consumption (% of total final energy consumption),Europe & Central Asia,1/1/1990,0.651133978
GEO,Georgia,Upper middle income,EG.FEC.RNEW.ZS,Renewable energy consumption (% of total final energy consumption),Europe & Central Asia,1/1/1990,12.773997579
GHA,Ghana,Lower middle income,EG.FEC.RNEW.ZS,Renewable energy consumption (% of total final energy consumption),Sub-Saharan Africa,1/1/1990,80.626421969
GIB,Gibraltar,High income,EG.FEC.RNEW.ZS,Renewable energy consumption (% of total final energy consumption),Europe & Central Asia,1/1/1990,0
GIN,Guinea,Low income,EG.FEC.RNEW.ZS,Renewable energy consumption (% of total final energy consumption),Sub-Saharan Africa,1/1/1990,89.297144180
GMB,Gambia,Low income,EG.FEC.RNEW.ZS,Renewable energy consumption (% of total final energy consumption),Sub-Saharan Africa,1/1/1990,61.441869779
GNB,Guinea-Bissau,Low income,EG.FEC.RNEW.ZS,Renewable energy consumption (% of total final energy consumption),Sub-Saharan Africa,1/1/1990,88.579605434
GNQ,Equatorial Guinea,Upper middle income,EG.FEC.RNEW.ZS,Renewable energy consumption (% of total final energy consumption),Sub-Saharan Africa,1/1/1990,84.710859607
GRC,Greece,High income,EG.FEC.RNEW.ZS,Renewable energy consumption (% of total final energy consumption),Europe & Central Asia,1/1/1990,7.806882299
GRD,Grenada,Upper middle income,EG.FEC.RNEW.ZS,Renewable energy consumption (% of total final energy consumption),Latin America & Caribbean,1/1/1990,8.342131789
GRL,Greenland,High income,EG.FEC.RNEW.ZS,Renewable energy consumption (% of total final energy consumption),Europe & Central Asia,1/1/1990,0
GTM,Guatemala,Upper middle income,EG.FEC.RNEW.ZS,Renewable energy consumption (% of total final energy consumption),Latin America & Caribbean,1/1/1990,74.965329915
GUM,Guam,High income,EG.FEC.RNEW.ZS,Renewable energy consumption (% of total final energy consumption),East Asia & Pacific,1/1/1990,0
GUY,Guyana,Upper middle income,EG.FEC.RNEW.ZS,Renewable energy consumption (% of total final energy consumption),Latin America & Caribbean,1/1/1990,42.233942301
HKG,"Hong Kong SAR, China",High income,EG.FEC.RNEW.ZS,Renewable energy consumption (% of total final energy consumption),East Asia & Pacific,1/1/1990,1.073856299
HND,Honduras,Lower middle income,EG.FEC.RNEW.ZS,Renewable energy consumption (% of total final energy consumption),Latin America & Caribbean,1/1/1990,70.129082249
HRV,Croatia,High income,EG.FEC.RNEW.ZS,Renewable energy consumption (% of total final energy consumption),Europe & Central Asia,1/1/1990,21.923179713
HTI,Haiti,Lower middle income,EG.FEC.RNEW.ZS,Renewable energy consumption (% of total final energy consumption),Latin America & Caribbean,1/1/1990,81.119573203
HUN,Hungary,High income,EG.FEC.RNEW.ZS,Renewable energy consumption (% of total final energy consumption),Europe & Central Asia,1/1/1990,3.856669561
IDN,Indonesia,Lower middle income,EG.FEC.RNEW.ZS,Renewable energy consumption (% of total final energy consumption),East Asia & Pacific,1/1/1990,58.597531136
IND,India,Lower middle income,EG.FEC.RNEW.ZS,Renewable energy consumption (% of total final energy consumption),South Asia,1/1/1990,58.652858348
IRL,Ireland,High income,EG.FEC.RNEW.ZS,Renewable energy consumption (% of total final energy consumption),Europe & Central Asia,1/1/1990,2.279781342
IRN,Iran Islamic Rep.,Lower middle income,EG.FEC.RNEW.ZS,Renewable energy consumption (% of total final energy consumption),Middle East & North Africa,1/1/1990,1.238359584
IRQ,Iraq,Upper middle income,EG.FEC.RNEW.ZS,Renewable energy consumption (% of total final energy consumption),Middle East & North Africa,1/1/1990,1.596326357
ISL,Iceland,High income,EG.FEC.RNEW.ZS,Renewable energy consumption (% of total final energy consumption),Europe & Central Asia,1/1/1990,54.672154951
ISR,Israel,High income,EG.FEC.RNEW.ZS,Renewable energy consumption (% of total final energy consumption),Middle East & North Africa,1/1/1990,5.800245158
ITA,Italy,High income,EG.FEC.RNEW.ZS,Renewable energy consumption (% of total final energy consumption),Europe & Central Asia,1/1/1990,3.781463481
JAM,Jamaica,Upper middle income,EG.FEC.RNEW.ZS,Renewable energy consumption (% of total final energy consumption),Latin America & Caribbean,1/1/1990,7.633355058
JOR,Jordan,Upper middle income,EG.FEC.RNEW.ZS,Renewable energy consumption (% of total final energy consumption),Middle East & North Africa,1/1/1990,2.765358064
JPN,Japan,High income,EG.FEC.RNEW.ZS,Renewable energy consumption (% of total final energy consumption),East Asia & Pacific,1/1/1990,4.550664024
KAZ,Kazakhstan,Upper middle income,EG.FEC.RNEW.ZS,Renewable energy consumption (% of total final energy consumption),Europe & Central Asia,1/1/1990,1.407717208
KEN,Kenya,Lower middle income,EG.FEC.RNEW.ZS,Renewable energy consumption (% of total final energy consumption),Sub-Saharan Africa,1/1/1990,77.504004595
KGZ,Kyrgyz Republic,Lower middle income,EG.FEC.RNEW.ZS,Renewable energy consumption (% of total final energy consumption),Europe & Central Asia,1/1/1990,7.927699743
KIR,Kiribati,Lower middle income,EG.FEC.RNEW.ZS,Renewable energy consumption (% of total final energy consumption),East Asia & Pacific,1/1/1990,5.220941832
KNA,St. Kitts and Nevis,High income,EG.FEC.RNEW.ZS,Renewable energy consumption (% of total final energy consumption),Latin America & Caribbean,1/1/1990,40.032326176
KOR,Korea Rep.,High income,EG.FEC.RNEW.ZS,Renewable energy consumption (% of total final energy consumption),East Asia & Pacific,1/1/1990,1.631946867
KWT,Kuwait,High income,EG.FEC.RNEW.ZS,Renewable energy consumption (% of total final energy consumption),Middle East & North Africa,1/1/1990,0.165242348
LAO,Lao PDR,Lower middle income,EG.FEC.RNEW.ZS,Renewable energy consumption (% of total final energy consumption),East Asia & Pacific,1/1/1990,88.445097009
LBN,Lebanon,Upper middle income,EG.FEC.RNEW.ZS,Renewable energy consumption (% of total final energy consumption),Middle East & North Africa,1/1/1990,11.341680910
LBR,Liberia,Low income,EG.FEC.RNEW.ZS,Renewable energy consumption (% of total final energy consumption),Sub-Saharan Africa,1/1/1990,88.817239138
LBY,Libya,Upper middle income,EG.FEC.RNEW.ZS,Renewable energy consumption (% of total final energy consumption),Middle East & North Africa,1/1/1990,3.129308451
LCA,St. Lucia,Upper middle income,EG.FEC.RNEW.ZS,Renewable energy consumption (% of total final energy consumption),Latin America & Caribbean,1/1/1990,5.467459385
LKA,Sri Lanka,Lower middle income,EG.FEC.RNEW.ZS,Renewable energy consumption (% of total final energy consumption),South Asia,1/1/1990,78.087244904
LSO,Lesotho,Lower middle income,EG.FEC.RNEW.ZS,Renewable energy consumption (% of total final energy consumption),Sub-Saharan Africa,1/1/1990,52.027979250
LTU,Lithuania,High income,EG.FEC.RNEW.ZS,Renewable energy consumption (% of total final energy consumption),Europe & Central Asia,1/1/1990,3.096778514
LUX,Luxembourg,High income,EG.FEC.RNEW.ZS,Renewable energy consumption (% of total final energy consumption),Europe & Central Asia,1/1/1990,1.721832398
LVA,Latvia,High income,EG.FEC.RNEW.ZS,Renewable energy consumption (% of total final energy consumption),Europe & Central Asia,1/1/1990,17.569690519
MAC,"Macao SAR, China",High income,EG.FEC.RNEW.ZS,Renewable energy consumption (% of total final energy consumption),East Asia & Pacific,1/1/1990,0.660982960
MAR,Morocco,Lower middle income,EG.FEC.RNEW.ZS,Renewable energy consumption (% of total final energy consumption),Middle East & North Africa,1/1/1990,19.482555741
MDA,Moldova,Upper middle income,EG.FEC.RNEW.ZS,Renewable energy consumption (% of total final energy consumption),Europe & Central Asia,1/1/1990,1.140957938
MDG,Madagascar,Low income,EG.FEC.RNEW.ZS,Renewable energy consumption (% of total final energy consumption),Sub-Saharan Africa,1/1/1990,85.647276833
MDV,Maldives,Upper middle income,EG.FEC.RNEW.ZS,Renewable energy consumption (% of total final energy consumption),South Asia,1/1/1990,4.458738895
MEX,Mexico,Upper middle income,EG.FEC.RNEW.ZS,Renewable energy consumption (% of total final energy consumption),Latin America & Caribbean,1/1/1990,14.413301688
MKD,North Macedonia,Upper middle income,EG.FEC.RNEW.ZS,Renewable energy consumption (% of total final energy consumption),Europe & Central Asia,1/1/1990,2.410188215
MLI,Mali,Low income,EG.FEC.RNEW.ZS,Renewable energy consumption (% of total final energy consumption),Sub-Saharan Africa,1/1/1990,88.637566825
MLT,Malta,High income,EG.FEC.RNEW.ZS,Renewable energy consumption (% of total final energy consumption),Middle East & North Africa,1/1/1990,0
MMR,Myanmar,Lower middle income,EG.FEC.RNEW.ZS,Renewable energy consumption (% of total final energy consumption),East Asia & Pacific,1/1/1990,90.907347210
MNG,Mongolia,Lower middle income,EG.FEC.RNEW.ZS,Renewable energy consumption (% of total final energy consumption),East Asia & Pacific,1/1/1990,1.892624430
MOZ,Mozambique,Low income,EG.FEC.RNEW.ZS,Renewable energy consumption (% of total final energy consumption),Sub-Saharan Africa,1/1/1990,93.103561917
MRT,Mauritania,Lower middle income,EG.FEC.RNEW.ZS,Renewable energy consumption (% of total final energy consumption),Sub-Saharan Africa,1/1/1990,46.999743587
MUS,Mauritius,Upper middle income,EG.FEC.RNEW.ZS,Renewable energy consumption (% of total final energy consumption),Sub-Saharan Africa,1/1/1990,47.067827440
MWI,Malawi,Low income,EG.FEC.RNEW.ZS,Renewable energy consumption (% of total final energy consumption),Sub-Saharan Africa,1/1/1990,84.030978049
MYS,Malaysia,Upper middle income,EG.FEC.RNEW.ZS,Renewable energy consumption (% of total final energy consumption),East Asia & Pacific,1/1/1990,11.980543609
NCL,New Caledonia,High income,EG.FEC.RNEW.ZS,Renewable energy consumption (% of total final energy consumption),East Asia & Pacific,1/1/1990,10.157990833
NGA,Nigeria,Lower middle income,EG.FEC.RNEW.ZS,Renewable energy consumption (% of total final energy consumption),Sub-Saharan Africa,1/1/1990,87.775972762
NIC,Nicaragua,Lower middle income,EG.FEC.RNEW.ZS,Renewable energy consumption (% of total final energy consumption),Latin America & Caribbean,1/1/1990,68.765936829
NLD,Netherlands,High income,EG.FEC.RNEW.ZS,Renewable energy consumption (% of total final energy consumption),Europe & Central Asia,1/1/1990,1.201611136
NOR,Norway,High income,EG.FEC.RNEW.ZS,Renewable energy consumption (% of total final energy consumption),Europe & Central Asia,1/1/1990,59.173746415
NPL,Nepal,Lower middle income,EG.FEC.RNEW.ZS,Renewable energy consumption (% of total final energy consumption),South Asia,1/1/1990,95.119714537
NRU,Nauru,High income,EG.FEC.RNEW.ZS,Renewable energy consumption (% of total final energy consumption),East Asia & Pacific,1/1/1990,0
NZL,New Zealand,High income,EG.FEC.RNEW.ZS,Renewable energy consumption (% of total final energy consumption),East Asia & Pacific,1/1/1990,30.030592768
OMN,Oman,High income,EG.FEC.RNEW.ZS,Renewable energy consumption (% of total final energy consumption),Middle East & North Africa,1/1/1990,0
PAK,Pakistan,Lower middle income,EG.FEC.RNEW.ZS,Renewable energy consumption (% of total final energy consumption),South Asia,1/1/1990,57.500533244
PAN,Panama,Upper middle income,EG.FEC.RNEW.ZS,Renewable energy consumption (% of total final energy consumption),Latin America & Caribbean,1/1/1990,43.589445645
PER,Peru,Upper middle income,EG.FEC.RNEW.ZS,Renewable energy consumption (% of total final energy consumption),Latin America & Caribbean,1/1/1990,39.425828204
PHL,Philippines,Lower middle income,EG.FEC.RNEW.ZS,Renewable energy consumption (% of total final energy consumption),East Asia & Pacific,1/1/1990,50.946567395
PNG,Papua New Guinea,Lower middle income,EG.FEC.RNEW.ZS,Renewable energy consumption (% of total final energy consumption),East Asia & Pacific,1/1/1990,71.700410756
POL,Poland,High income,EG.FEC.RNEW.ZS,Renewable energy consumption (% of total final energy consumption),Europe & Central Asia,1/1/1990,2.501484839
PRI,Puerto Rico,High income,EG.FEC.RNEW.ZS,Renewable energy consumption (% of total final energy consumption),Latin America & Caribbean,1/1/1990,1.746942855
PRK,"Korea, Dem. People's Rep.",Low income,EG.FEC.RNEW.ZS,Renewable energy consumption (% of total final energy consumption),East Asia & Pacific,1/1/1990,7.189592068
PRT,Portugal,High income,EG.FEC.RNEW.ZS,Renewable energy consumption (% of total final energy consumption),Europe & Central Asia,1/1/1990,26.944474927
PRY,Paraguay,Upper middle income,EG.FEC.RNEW.ZS,Renewable energy consumption (% of total final energy consumption),Latin America & Caribbean,1/1/1990,78.506452618
PSE,West Bank and Gaza,Lower middle income,EG.FEC.RNEW.ZS,Renewable energy consumption (% of total final energy consumption),Middle East & North Africa,1/1/1990,22.082082930
PYF,French Polynesia,High income,EG.FEC.RNEW.ZS,Renewable energy consumption (% of total final energy consumption),East Asia & Pacific,1/1/1990,4.731666167
QAT,Qatar,High income,EG.FEC.RNEW.ZS,Renewable energy consumption (% of total final energy consumption),Middle East & North Africa,1/1/1990,0
ROU,Romania,Upper middle income,EG.FEC.RNEW.ZS,Renewable energy consumption (% of total final energy consumption),Europe & Central Asia,1/1/1990,3.355765883
RUS,Russian Federation,Upper middle income,EG.FEC.RNEW.ZS,Renewable energy consumption (% of total final energy consumption),Europe & Central Asia,1/1/1990,3.751939258
RWA,Rwanda,Low income,EG.FEC.RNEW.ZS,Renewable energy consumption (% of total final energy consumption),Sub-Saharan Africa,1/1/1990,80.087558218
SAU,Saudi Arabia,High income,EG.FEC.RNEW.ZS,Renewable energy consumption (% of total final energy consumption),Middle East & North Africa,1/1/1990,0.037984679
SDN,Sudan,Low income,EG.FEC.RNEW.ZS,Renewable energy consumption (% of total final energy consumption),Sub-Saharan Africa,1/1/1990,73.266635134
SEN,Senegal,Lower middle income,EG.FEC.RNEW.ZS,Renewable energy consumption (% of total final energy consumption),Sub-Saharan Africa,1/1/1990,55.551011131
SGP,Singapore,High income,EG.FEC.RNEW.ZS,Renewable energy consumption (% of total final energy consumption),East Asia & Pacific,1/1/1990,0.194833724
SLB,Solomon Islands,Lower middle income,EG.FEC.RNEW.ZS,Renewable energy consumption (% of total final energy consumption),East Asia & Pacific,1/1/1990,59.014369589
SLE,Sierra Leone,Low income,EG.FEC.RNEW.ZS,Renewable energy consumption (% of total final energy consumption),Sub-Saharan Africa,1/1/1990,91.282152248
SLV,El Salvador,Lower middle income,EG.FEC.RNEW.ZS,Renewable energy consumption (% of total final energy consumption),Latin America & Caribbean,1/1/1990,67.137035812
SOM,Somalia,Low income,EG.FEC.RNEW.ZS,Renewable energy consumption (% of total final energy consumption),Sub-Saharan Africa,1/1/1990,87.203216525
SRB,Serbia,Upper middle income,EG.FEC.RNEW.ZS,Renewable energy consumption (% of total final energy consumption),Europe & Central Asia,1/1/1990,15.491652656
STP,Sao Tome and Principe,Lower middle income,EG.FEC.RNEW.ZS,Renewable energy consumption (% of total final energy consumption),Sub-Saharan Africa,1/1/1990,50.929073956
SVK,Slovak Republic,High income,EG.FEC.RNEW.ZS,Renewable energy consumption (% of total final energy consumption),Europe & Central Asia,1/1/1990,2.225335934
SVN,Slovenia,High income,EG.FEC.RNEW.ZS,Renewable energy consumption (% of total final energy consumption),Europe & Central Asia,1/1/1990,12.351950591
SWE,Sweden,High income,EG.FEC.RNEW.ZS,Renewable energy consumption (% of total final energy consumption),Europe & Central Asia,1/1/1990,34.061991965
SWZ,Eswatini,Lower middle income,EG.FEC.RNEW.ZS,Renewable energy consumption (% of total final energy consumption),Sub-Saharan Africa,1/1/1990,85.245716436
SYC,Seychelles,High income,EG.FEC.RNEW.ZS,Renewable energy consumption (% of total final energy consumption),Sub-Saharan Africa,1/1/1990,4.248395139
SYR,Syrian Arab Republic,Low income,EG.FEC.RNEW.ZS,Renewable energy consumption (% of total final energy consumption),Middle East & North Africa,1/1/1990,2.360017397
TCA,Turks and Caicos Islands,High income,EG.FEC.RNEW.ZS,Renewable energy consumption (% of total final energy consumption),Latin America & Caribbean,1/1/1990,1.792108636
TCD,Chad,Low income,EG.FEC.RNEW.ZS,Renewable energy consumption (% of total final energy consumption),Sub-Saharan Africa,1/1/1990,98.163527100
TGO,Togo,Low income,EG.FEC.RNEW.ZS,Renewable energy consumption (% of total final energy consumption),Sub-Saharan Africa,1/1/1990,78.701417052
THA,Thailand,Upper middle income,EG.FEC.RNEW.ZS,Renewable energy consumption (% of total final energy consumption),East Asia & Pacific,1/1/1990,33.639130921
TJK,Tajikistan,Lower middle income,EG.FEC.RNEW.ZS,Renewable energy consumption (% of total final energy consumption),Europe & Central Asia,1/1/1990,29.637751894
TKM,Turkmenistan,Upper middle income,EG.FEC.RNEW.ZS,Renewable energy consumption (% of total final energy consumption),Europe & Central Asia,1/1/1990,0.277582764
TON,Tonga,Upper middle income,EG.FEC.RNEW.ZS,Renewable energy consumption (% of total final energy consumption),East Asia & Pacific,1/1/1990,1.486607998
TTO,Trinidad and Tobago,High income,EG.FEC.RNEW.ZS,Renewable energy consumption (% of total final energy consumption),Latin America & Caribbean,1/1/1990,1.193023774
TUN,Tunisia,Lower middle income,EG.FEC.RNEW.ZS,Renewable energy consumption (% of total final energy consumption),Middle East & North Africa,1/1/1990,14.480239139
TUR,Turkey,Upper middle income,EG.FEC.RNEW.ZS,Renewable energy consumption (% of total final energy consumption),Europe & Central Asia,1/1/1990,24.510776957
TUV,Tuvalu,Upper middle income,EG.FEC.RNEW.ZS,Renewable energy consumption (% of total final energy consumption),East Asia & Pacific,1/1/1990,0
TZA,Tanzania,Lower middle income,EG.FEC.RNEW.ZS,Renewable energy consumption (% of total final energy consumption),Sub-Saharan Africa,1/1/1990,94.784909315
UGA,Uganda,Low income,EG.FEC.RNEW.ZS,Renewable energy consumption (% of total final energy consumption),Sub-Saharan Africa,1/1/1990,96.018512874
UKR,Ukraine,Lower middle income,EG.FEC.RNEW.ZS,Renewable energy consumption (% of total final energy consumption),Europe & Central Asia,1/1/1990,0.650122965
URY,Uruguay,High income,EG.FEC.RNEW.ZS,Renewable energy consumption (% of total final energy consumption),Latin America & Caribbean,1/1/1990,44.812477320
USA,United States,High income,EG.FEC.RNEW.ZS,Renewable energy consumption (% of total final energy consumption),North America,1/1/1990,4.175462186
UZB,Uzbekistan,Lower middle income,EG.FEC.RNEW.ZS,Renewable energy consumption (% of total final energy consumption),Europe & Central Asia,1/1/1990,1.329744598
VCT,St. Vincent and the Grenadines,Upper middle income,EG.FEC.RNEW.ZS,Renewable energy consumption (% of total final energy consumption),Latin America & Caribbean,1/1/1990,15.439773275
